epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1099.69,0.20939,0.33578,0.83726,0.965,0.96046,0.98191,0.9758,0.13601,0.23451,0.77073,0.000351734,0.000351734,0.000351734
43,1126.89,0.20035,0.3206,0.82642,0.97277,0.95407,0.97864,0.97279,0.13304,0.23651,0.77058,0.000342899,0.000342899,0.000342899
44,1154.01,0.20189,0.34039,0.83166,0.97293,0.9444,0.97805,0.97378,0.12385,0.2421,0.76958,0.000334063,0.000334063,0.000334063
45,1180.92,0.19834,0.32429,0.837,0.95642,0.96265,0.9724,0.96715,0.12867,0.23899,0.76974,0.000325227,0.000325227,0.000325227
46,1206.29,0.20284,0.31596,0.83042,0.96646,0.96924,0.97848,0.97215,0.12578,0.22248,0.76872,0.000316391,0.000316391,0.000316391
47,1232.37,0.19072,0.31317,0.82967,0.96229,0.96829,0.98065,0.97375,0.13832,0.22157,0.77199,0.000307555,0.000307555,0.000307555
48,1259.11,0.18951,0.30504,0.82771,0.97382,0.9617,0.98002,0.97392,0.12872,0.21169,0.77361,0.00029872,0.00029872,0.00029872
49,1286.07,0.18841,0.29042,0.83065,0.95926,0.96483,0.97742,0.97258,0.12537,0.2216,0.77298,0.000289884,0.000289884,0.000289884
50,1312.91,0.1791,0.27641,0.81887,0.96184,0.96823,0.97678,0.97181,0.11729,0.22544,0.77212,0.000281048,0.000281048,0.000281048
51,1338.01,0.18582,0.30077,0.82473,0.96403,0.97436,0.9784,0.97327,0.122,0.20385,0.77487,0.000272212,0.000272212,0.000272212
52,1364.89,0.18597,0.29068,0.82763,0.96216,0.97006,0.97979,0.97512,0.11823,0.20331,0.76913,0.000263377,0.000263377,0.000263377
53,1391.85,0.18134,0.29422,0.82612,0.98077,0.95881,0.97858,0.97294,0.12069,0.20018,0.77277,0.000254541,0.000254541,0.000254541
54,1418.52,0.18818,0.2764,0.83211,0.96574,0.96973,0.97905,0.97393,0.11755,0.20586,0.77008,0.000245705,0.000245705,0.000245705
55,1443.97,0.18025,0.27659,0.83095,0.95965,0.97134,0.98072,0.97546,0.11297,0.18524,0.7683,0.000236869,0.000236869,0.000236869
56,1470.2,0.17619,0.27769,0.82763,0.96088,0.97182,0.98142,0.97533,0.10876,0.20049,0.76576,0.000228034,0.000228034,0.000228034
57,1496.97,0.17582,0.28334,0.82201,0.96172,0.96744,0.98045,0.97449,0.11567,0.20209,0.76965,0.000219198,0.000219198,0.000219198
58,1523.86,0.16978,0.27071,0.82592,0.96998,0.96426,0.98192,0.976,0.11349,0.18943,0.76904,0.000210362,0.000210362,0.000210362
59,1550.84,0.16909,0.26234,0.8189,0.96814,0.96703,0.97573,0.97032,0.11339,0.19815,0.77044,0.000201527,0.000201527,0.000201527
60,1575.98,0.17339,0.26203,0.82642,0.96982,0.96991,0.98128,0.97524,0.1092,0.17927,0.76878,0.000192691,0.000192691,0.000192691
61,1603.12,0.17025,0.25533,0.81978,0.97185,0.97066,0.98259,0.97608,0.10648,0.17229,0.76984,0.000183855,0.000183855,0.000183855
62,1630.41,0.15695,0.24952,0.81746,0.97469,0.96582,0.98306,0.97721,0.10984,0.18451,0.77012,0.000175019,0.000175019,0.000175019
63,1657.74,0.16663,0.24922,0.81916,0.97258,0.97002,0.98232,0.97659,0.10966,0.17415,0.76989,0.000166183,0.000166183,0.000166183
64,1684.02,0.16657,0.24292,0.82423,0.98612,0.95842,0.98178,0.97657,0.10946,0.17186,0.76925,0.000157348,0.000157348,0.000157348
65,1709.93,0.16107,0.24172,0.82767,0.96885,0.96497,0.98259,0.9771,0.10321,0.16975,0.76812,0.000148512,0.000148512,0.000148512
66,1736.91,0.157,0.25404,0.81443,0.97519,0.97143,0.98241,0.97697,0.10187,0.172,0.76864,0.000139676,0.000139676,0.000139676
67,1763.9,0.16044,0.24033,0.81891,0.97385,0.96,0.98354,0.97873,0.09867,0.16805,0.7655,0.000130841,0.000130841,0.000130841
68,1791.46,0.15871,0.2432,0.8211,0.97098,0.9692,0.98157,0.97664,0.10488,0.17713,0.76934,0.000122005,0.000122005,0.000122005
69,1817.17,0.15211,0.22301,0.82039,0.96513,0.97562,0.98131,0.97654,0.0959,0.16748,0.76787,0.000113169,0.000113169,0.000113169
70,1843.93,0.1534,0.2276,0.81386,0.97183,0.96096,0.98222,0.97758,0.09394,0.16631,0.76459,0.000104333,0.000104333,0.000104333
71,1871.38,0.10761,0.1748,0.77486,0.9722,0.96483,0.98144,0.97677,0.09729,0.17416,0.76286,9.54975e-05,9.54975e-05,9.54975e-05
72,1897.92,0.10651,0.17567,0.77417,0.97193,0.96242,0.98176,0.97776,0.09265,0.16822,0.76272,8.66618e-05,8.66618e-05,8.66618e-05
73,1923.76,0.10151,0.16758,0.76524,0.96375,0.97663,0.98232,0.97575,0.09576,0.16986,0.76758,7.7826e-05,7.7826e-05,7.7826e-05
74,1949.86,0.09967,0.1666,0.76098,0.97349,0.96324,0.98131,0.97509,0.09411,0.17161,0.76389,6.89903e-05,6.89903e-05,6.89903e-05
75,1976.36,0.09991,0.16496,0.76969,0.97079,0.97496,0.98164,0.97522,0.09342,0.16268,0.7649,6.01545e-05,6.01545e-05,6.01545e-05
76,2002.75,0.09655,0.15891,0.76412,0.96057,0.97562,0.98019,0.97607,0.09129,0.15932,0.76384,5.13187e-05,5.13187e-05,5.13187e-05
77,2027.32,0.09739,0.16104,0.76577,0.96967,0.96721,0.98024,0.97612,0.08836,0.15628,0.76337,4.2483e-05,4.2483e-05,4.2483e-05
78,2053.36,0.09376,0.15581,0.76721,0.96384,0.97269,0.98017,0.97577,0.08444,0.15628,0.76212,3.36472e-05,3.36472e-05,3.36472e-05
79,2079.4,0.09116,0.15431,0.77223,0.97092,0.97049,0.98092,0.9764,0.08377,0.15365,0.76205,2.48115e-05,2.48115e-05,2.48115e-05
80,2104.08,0.08945,0.15331,0.76899,0.9703,0.97002,0.98066,0.9761,0.08081,0.15382,0.76205,1.59757e-05,1.59757e-05,1.59757e-05
